analysis_window,metric_column,metric_label,risk,cause,location_name,selected_breakpoint_count,selected_breakpoint_years,segment_index,year_start,year_end,n_years,slope_log_linear,slope_se,p_value,apc_percent,apc_lower,apc_upper,segment_sse,model_bic
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,East Asia,1,2007,1,1990,2006,17,0.019141288468997982,0.0009407675657682107,4.9905062081835955e-92,1.9325657405323104,1.7447850091790063,2.1206930410298197,0.005416466910344841,-159.0989078146442
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,East Asia,1,2007,2,2007,2021,15,-0.0944697934206154,0.005827756397005754,4.263460794436434e-59,-9.014478217519306,-10.047838508559593,-7.969246799944729,0.123624390427143,-159.0989078146442
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,Global,1,2009,1,1990,2008,19,0.015447065624157699,0.0007308718520645348,3.7821147864905575e-99,1.5566988230803824,1.4113221068412063,1.7022839419829516,0.005176142805518957,-216.41880563519814
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,Global,1,2009,2,2009,2021,13,-0.019214283925140793,0.0028570412964055492,1.7530514304030566e-11,-1.9030866197110474,-2.4508746242210777,-1.3522225066584848,0.016341695308672136,-216.41880563519814
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,High SDI,1,2009,1,1990,2008,19,0.006794548685634943,0.001209597556719743,1.9407924987660004e-08,0.6817683999880142,0.4433536645410685,0.9207490423268183,0.014177693354964787,-200.67370163236075
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,High SDI,1,2009,2,2009,2021,13,-0.04403695068873787,0.003240120245528989,4.519415803464759e-42,-4.308140198149024,-4.913918761980995,-3.698502313755936,0.021017755169384648,-200.67370163236075
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,Japan,1,2010,1,1990,2009,20,0.0028006592149915645,0.002551275921974231,0.27231434256851555,0.28045847248270306,-0.2197423713870772,0.7831668352761278,0.07791283569564417,-168.2269288358632
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,Japan,1,2010,2,2010,2021,12,-0.020679866136279337,0.003655000174271975,1.5317761149010696e-08,-2.0467504096663314,-2.7459604417187866,-1.342513391885114,0.01910340757171728,-168.2269288358632
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,Republic of Korea,1,2001,1,1990,2000,11,0.011116644783861795,0.009174219893085547,0.22561711571688076,1.1178664282676554,-0.6841317113203238,2.9525602221456504,0.08332464754021973,-141.98443653897462
1990-2021,dalys_asdr,DALYs ASDR,ozone,copd,Republic of Korea,1,2001,2,2001,2021,21,0.01452075344295377,0.0030597588092451094,2.077676766552077e-06,1.4626691730063701,0.8560055708777714,2.0729819452965703,0.13696787369211713,-141.98443653897462
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,China,1,2009,1,1990,2008,19,0.026312591888374308,0.002121948353272791,2.6066002151710815e-35,2.6661824477646423,2.240078568896431,3.094062191030944,0.0436308220472444,-170.61529435671676
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,China,1,2009,2,2009,2021,13,-0.06396542032534248,0.0048146512931837495,2.806865165728584e-40,-6.196256400074162,-7.077292157834614,-5.306867205091759,0.046408095884061806,-170.61529435671676
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,East Asia,1,2009,1,1990,2008,19,0.025856083580829678,0.0021077855958695248,1.3630470447400453e-34,2.6193251787533844,2.1962526023155293,3.0441491932369447,0.04305034554492241,-170.77816618869872
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,East Asia,1,2009,2,2009,2021,13,-0.063531672254612,0.004821046389299911,1.1748853811045495e-39,-6.155560381988767,-7.038143597515334,-5.264597889600974,0.04653146155213897,-170.77816618869872
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,Global,1,2007,1,1990,2006,17,0.012247114289213445,0.0008884877904010524,3.1716074113673188e-43,1.2322417294255095,1.056105661676554,1.4086847941060965,0.004831192588593476,-219.16037938572381
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,Global,1,2007,2,2007,2021,15,-0.017430879374822815,0.0020245665515795093,7.326188781081652e-18,-1.7279840450622252,-2.1171695046115824,-1.3372511709034085,0.014919885787259345,-219.16037938572381
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,High SDI,1,2007,1,1990,2006,17,0.004678263960100341,0.0008775681689853038,9.770526630881511e-08,0.4689224121785074,0.2962610230121898,0.641881040294745,0.004713170454243259,-197.58439420074458
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,High SDI,1,2007,2,2007,2021,15,-0.04466108452289855,0.0030584730946567325,2.7108190341792466e-48,-4.367846091332939,-4.939408438467307,-3.792847162211266,0.03404949792149043,-197.58439420074458
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,Japan,1,2013,1,1990,2012,23,-0.020121993990011966,0.0012717974386248444,2.2046849307283124e-56,-1.9920897746782629,-2.2360921032382297,-1.7474784572017898,0.03437444534141998,-186.9557655009086
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,Japan,1,2013,2,2013,2021,9,-0.05559428689318455,0.006841565770274374,4.438369420210846e-16,-5.407716865929258,-6.667682530628783,-4.1307419431370835,0.019658949319375795,-186.9557655009086
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,Republic of Korea,1,2014,1,1990,2013,24,-0.010544840055643337,0.0010539046585027031,1.4416574840163292e-23,-1.0489438135539375,-1.2531314095702517,-0.8443340008642108,0.028101090239106594,-202.1231364680816
1990-2021,dalys_asdr,DALYs ASDR,pm25,copd,Republic of Korea,1,2014,2,2014,2021,8,-0.061243044230045174,0.004686924999763692,5.097432219262322e-39,-5.9405394098712705,-6.800648011106181,-5.072493126773447,0.005535751020259293,-202.1231364680816
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,China,1,2002,1,1990,2001,12,-0.026509408503589946,0.0023006433382298007,1.0149325552050532e-30,-2.616111857417913,-3.0542526327384967,-2.1759909298553537,0.00756893247072986,-158.01383953932603
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,China,1,2002,2,2002,2021,20,-0.08107496124996622,0.003243430756874342,6.645325317622619e-138,-7.7875434756288,-8.37189017201817,-7.199470181995171,0.12592252160342246,-158.01383953932603
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,East Asia,1,2003,1,1990,2002,13,-0.029130775514303053,0.0022568519525100186,4.072676446341816e-38,-2.8710564714803932,-3.299750688935754,-2.4404617549736995,0.010196948232567664,-158.01535180464478
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,East Asia,1,2003,2,2003,2021,19,-0.08036622466758374,0.003566965122770719,2.076442393183078e-112,-7.722165969360084,-8.365053614703067,-7.074767986631214,0.12328819741263786,-158.01535180464478
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,Global,1,2014,1,1990,2013,24,-0.02254483487351483,0.0006548648272853022,1.0052546485800481e-259,-2.2292599177005767,-2.354671588227275,-2.10368717354793,0.010849852932989842,-202.54233920764813
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,Global,1,2014,2,2014,2021,8,-0.04941959351547359,0.009417397045184525,1.5401700200008166e-07,-4.82183155209005,-6.562525164672827,-3.048709684588935,0.02234921651087586,-202.54233920764813
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,High SDI,1,1998,1,1990,1997,8,-0.020435789886916206,0.003525305406479626,6.755799958825578e-09,-2.0228394299609764,-2.6974888187876855,-1.3435123427653406,0.003131800108656529,-187.26871478638952
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,High SDI,1,1998,2,1998,2021,24,-0.04761933470581863,0.0014110761958073613,1.1902897253548927e-249,-4.650331890284598,-4.913677022392127,-4.386257413972416,0.050375741568466616,-187.26871478638952
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,Japan,1,2014,1,1990,2013,24,-0.025858639598522536,0.0017381230709184472,4.625592521341041e-50,-2.552716825639767,-2.884127720177865,-2.2201749812533977,0.07643311678437202,-171.38993881750088
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,Japan,1,2014,2,2014,2021,8,-0.12297632181213614,0.006741350053049164,2.391324128680514e-74,-11.571539943016973,-12.732264025251805,-10.39537738996551,0.011452341735511986,-171.38993881750088
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,Republic of Korea,1,2004,1,1990,2003,14,-0.05790113002390451,0.0025852891312109065,4.268430171955289e-111,-5.625674930308633,-6.10267582521582,-5.146250858215707,0.018246555305043273,-143.29579052364792
1990-2021,dalys_asdr,DALYs ASDR,pm25,lri,Republic of Korea,1,2004,2,2004,2021,18,0.031154204635051266,0.004992265590865396,4.361904748396894e-10,3.1644575996723434,2.1599324049146773,4.178860158707254,0.19320089233693374,-143.29579052364792
