risk,cause,location_name,year,deaths_count_all_age,deaths_count_lower,deaths_count_upper,deaths_asr,deaths_asr_lower,deaths_asr_upper,dalys_asdr,dalys_asdr_lower,dalys_asdr_upper,deaths_count_from_age_sex_sum,deaths_count_difference_vs_baseline,dalys_count_from_age_sex_sum,dalys_count_ui_note,population_total_from_age_sex
ozone,copd,East Asia,1991,68246.8900619584,16550.92899359528,132099.1281549459,10.557943437239826,2.5447514576061754,20.074814190473244,174.5343006196079,42.35354318287444,338.007956632274,68246.8900619584,0.0,1333262.6254163426,point_estimate_sum_from_age_sex_only,1237177211.0151722
ozone,copd,East Asia,1992,72889.61263256402,17427.930782143478,142152.53857951326,10.933583484709247,2.6437682933326747,21.063687525963662,180.00046846379044,43.08752054834555,351.80900634294386,72889.61263256407,4.3655745685100555e-11,1412623.4255019294,point_estimate_sum_from_age_sex_only,1250947489.8281004
ozone,copd,East Asia,1993,75530.07778429557,18678.25011511568,142475.93605940358,10.991744953227668,2.707433741292853,20.727301374544005,180.41331651647508,44.53256325363617,339.529135924424,75530.0777842956,2.9103830456733704e-11,1455245.0217531386,point_estimate_sum_from_age_sex_only,1262228196.221577
ozone,copd,East Asia,1994,80979.13357679856,20475.2778836358,151821.28332364056,11.46071725174298,2.852511284688541,21.498936855874298,187.19336438976782,47.18920089289731,351.2204264781116,80979.13357679859,2.9103830456733704e-11,1550426.7505802359,point_estimate_sum_from_age_sex_only,1271465955.9090178
ozone,copd,East Asia,1995,84465.84851173966,20611.28023420651,157534.23330630304,11.60391457253408,2.807982037800112,21.854511712305452,189.00692635775934,46.33833087992284,350.7944762020123,84465.84851173966,0.0,1609488.2071042696,point_estimate_sum_from_age_sex_only,1278983544.787669
ozone,copd,East Asia,1996,89045.15339435745,21117.82747847043,161215.05937930965,11.872005652533502,2.8131414175290943,21.64420307401885,192.5241531009573,45.946768387027475,347.66184605398985,89045.1533943575,5.820766091346741e-11,1683779.615618954,point_estimate_sum_from_age_sex_only,1285123018.4308662
ozone,copd,East Asia,1997,96506.96837824142,22012.97540685704,173297.44995465662,12.483494037591457,2.8669421361194924,22.58451363367048,201.6345441819839,46.219750102068126,363.22974931263514,96506.9683782414,-1.4551915228366852e-11,1811820.8347794372,point_estimate_sum_from_age_sex_only,1290250456.8476858
ozone,copd,East Asia,1998,98515.61221771582,22530.82104397568,179499.4888595539,12.345557596911146,2.882910704782528,22.540590348109237,199.0465970189779,45.73566639286463,361.9591828669538,98515.61221771584,1.4551915228366852e-11,1840212.4089971625,point_estimate_sum_from_age_sex_only,1294803288.5892537
ozone,copd,East Asia,1999,107968.00013713665,24186.51235016015,195494.24868842872,13.124259384797508,2.989066248585758,23.747514578906856,210.87446011122452,47.331482844373646,380.7060743376962,107968.00013713662,-2.9103830456733704e-11,2005972.218295115,point_estimate_sum_from_age_sex_only,1299256918.6761632
ozone,copd,East Asia,2000,111034.08994446452,24761.131022775524,202890.37728506848,13.120460668435467,2.989051636300791,24.05063380352971,209.60263048575766,46.853041109096765,381.4333771776791,111034.08994446456,4.3655745685100555e-11,2047436.137013528,point_estimate_sum_from_age_sex_only,1304099051.6318066
ozone,copd,East Asia,2001,118221.1443714856,25480.290481922137,216912.2997087573,13.57321997267991,2.9850499949375497,24.760097281889983,215.26521864105194,46.50898185400068,392.98237646512234,118221.14437148569,8.731149137020111e-11,2158727.5851381263,point_estimate_sum_from_age_sex_only,1309838130.4263265
ozone,copd,East Asia,2002,122311.71284485419,27673.739154423532,223211.90264931467,13.579938922146399,3.11677409651691,24.598035572773767,214.73273860854496,48.419030645643346,392.07508778771,122311.71284485424,4.3655745685100555e-11,2219469.3463387396,point_estimate_sum_from_age_sex_only,1316379211.649598
ozone,copd,East Asia,2003,132921.58793720766,30609.90115798762,241175.02859911503,14.302143340244077,3.3363710244943245,25.760681303632328,224.64804971344998,51.59891030557919,408.5841165199012,132921.58793720772,5.820766091346741e-11,2389668.8965437436,point_estimate_sum_from_age_sex_only,1323632174.6636906
